Line,Station,Lon,Lat
83.3,42.0,-119.5085,34.1784
83.3,51.0,-120.1326,33.8784
83.3,55.0,-120.4092,33.7451
83.3,60.0,-120.7544,33.5784
83.3,70.0,-121.4428,33.2451
83.3,80.0,-122.1286,32.9118
83.3,90.0,-122.8117,32.5784
83.3,100.0,-123.4923,32.2451
83.3,110.0,-124.1704,31.9118
83.3,120.0,-124.846,31.5784
83.6,51.5,-120.1317,33.8098
84.0,41.7,-119.4059,34.0672
84.5,43.5,-119.4723,33.9206
85.4,35.8,-118.8342,34.0214
86.7,33.0,-118.4904,33.8895
86.7,35.0,-118.6288,33.8229
86.7,40.0,-118.9743,33.6562
86.7,45.0,-119.3191,33.4895
86.7,50.0,-119.6633,33.3229
86.7,55.0,-120.0068,33.1562
86.7,60.0,-120.3496,32.9895
86.7,70.0,-121.0334,32.6562
86.7,80.0,-121.7146,32.3229
86.7,90.0,-122.3932,31.9895
86.7,100.0,-123.0694,31.6562
86.7,110.0,-123.7431,31.3229
86.7,120.0,-124.4144,30.9895
86.8,32.5,-118.4443,33.8889
88.5,30.1,-118.0837,33.6744
90.0,27.7,-117.7474,33.4946
90.0,28.0,-117.7681,33.4846
90.0,30.0,-117.9059,33.4179
90.0,35.0,-118.2497,33.2513
90.0,37.0,-118.3871,33.1846
90.0,45.0,-118.9355,32.9179
90.0,53.0,-119.4823,32.6513
90.0,60.0,-119.9594,32.4179
90.0,70.0,-120.6387,32.0846
90.0,80.0,-121.3156,31.7513
90.0,90.0,-121.99,31.4179
90.0,100.0,-122.662,31.0846
90.0,110.0,-123.3316,30.7513
90.0,120.0,-123.9989,30.4179
90.0,130.0,-124.6639,30.0846
90.0,140.0,-125.3266,29.7513
90.0,145.0,-125.6571,29.584600000000002
90.0,160.0,-126.6454,29.0846
90.0,175.0,-127.6289,28.584600000000002
90.0,180.0,-127.9557,28.4179
90.0,190.0,-128.6076,28.0846
90.0,200.0,-129.2576,27.7513
90.0,205.0,-129.5818,27.584600000000002
90.0,220.0,-130.5515,27.0846
90.0,235.0,-131.5168,26.584600000000002
91.7,26.4,-117.4655,33.2435
93.3,26.7,-117.3054,32.9564
93.3,28.0,-117.3944,32.913
93.3,30.0,-117.5313,32.8464
93.3,35.0,-117.8729,32.6797
93.3,40.0,-118.2139,32.513
93.3,45.0,-118.5543,32.3464
93.3,50.0,-118.894,32.1797
93.3,55.0,-119.2331,32.013
93.3,60.0,-119.5716,31.8464
93.3,70.0,-120.2467,31.513
93.3,80.0,-120.9193,31.1797
93.3,90.0,-121.5896,30.8464
93.3,100.0,-122.2576,30.513
93.3,110.0,-122.9232,30.1797
93.3,120.0,-123.5866,29.8464
93.4,26.4,-117.2736,32.9491
96.7,30.0,-117.1474,32.2575
96.7,40.0,-117.8256,31.9241
96.7,50.0,-118.5013,31.5908
96.7,60.0,-119.1745,31.2575
96.7,70.0,-119.8454,30.9241
96.7,80.0,-120.5139,30.5908
96.7,90.0,-121.18,30.2575
96.7,100.0,-121.8439,29.9241
96.7,110.0,-122.5056,29.5908
96.7,120.0,-123.165,29.2575
100.0,30.0,-116.777,31.6859
100.0,40.0,-117.4509,31.3526
100.0,50.0,-118.1224,31.0192
100.0,60.0,-118.7916,30.6859
100.0,70.0,-119.4584,30.3526
100.0,80.0,-120.1229,30.0192
100.0,90.0,-120.7852,29.6859
100.0,100.0,-121.4453,29.3526
100.0,110.0,-122.1032,29.0192
100.0,120.0,-122.7589,28.6859
103.3,30.0,-116.4084,31.1143
103.3,40.0,-117.0782,30.781
103.3,50.0,-117.7457,30.4477
103.3,60.0,-118.4109,30.1143
103.3,70.0,-119.0738,29.781
103.3,80.0,-119.7345,29.4477
103.3,90.0,-120.393,29.1143
103.3,100.0,-121.0494,28.781
103.3,110.0,-121.7036,28.4477
103.3,120.0,-122.3558,28.1143
106.7,32.0,-116.1639,30.4588
106.7,40.0,-116.6963,30.1921
106.7,50.0,-117.3598,29.8588
106.7,60.0,-118.021,29.5254
106.7,70.0,-118.68,29.1921
106.7,80.0,-119.3369,28.8588
106.7,90.0,-119.9916,28.5254
106.7,100.0,-120.6443,28.1921
106.7,110.0,-121.2949,27.8588
106.7,120.0,-121.9434,27.5254
110.0,35.0,-115.997,29.7872
110.0,40.0,-116.3277,29.6205
110.0,50.0,-116.9873,29.2872
110.0,60.0,-117.6448,28.9538
110.0,70.0,-118.3001,28.6205
110.0,80.0,-118.9533,28.2872
110.0,90.0,-119.6045,27.9538
110.0,100.0,-120.2537,27.6205
110.0,110.0,-120.9008,27.2872
110.0,120.0,-121.546,26.9538
113.3,30.0,-115.3028,29.3823
113.3,40.0,-115.9609,29.0489
113.3,50.0,-116.6168,28.7156
113.3,60.0,-117.2706,28.3823
113.3,70.0,-117.9224,28.0489
113.3,80.0,-118.5721,27.7156
113.3,90.0,-119.2198,27.3823
113.3,100.0,-119.8656,27.0489
113.3,110.0,-120.5094,26.7156
113.3,120.0,-121.1513,26.3823
116.7,28.0,-114.7994,28.86
116.7,30.0,-114.9305,28.7934
116.7,40.0,-115.5848,28.46
116.7,50.0,-116.2371,28.1267
116.7,60.0,-116.8873,27.7934
116.7,70.0,-117.5354,27.46
116.7,80.0,-118.1817,27.1267
116.7,90.0,-118.8259,26.7934
116.7,100.0,-119.4683,26.46
116.7,110.0,-120.1087,26.1267
116.7,120.0,-120.7474,25.7934
120.0,25.0,-114.2447,28.3885
120.0,30.0,-114.5709,28.2218
120.0,40.0,-115.2217,27.8885
120.0,50.0,-115.8704,27.5551
120.0,60.0,-116.5172,27.2218
120.0,70.0,-117.162,26.8885
120.0,80.0,-117.8049,26.5551
120.0,90.0,-118.4459,26.2218
120.0,100.0,-119.085,25.8885
120.0,110.0,-119.7224,25.5551
120.0,120.0,-120.3579,25.2218
123.3,37.0,-114.6662,27.4169
123.3,40.0,-114.8602,27.3169
123.3,50.0,-115.5056,26.9836
123.3,60.0,-116.149,26.6502
123.3,70.0,-116.7906,26.3169
123.3,80.0,-117.4302,25.9836
123.3,90.0,-118.0681,25.6502
123.3,100.0,-118.7041,25.3169
123.3,110.0,-119.3384,24.9836
126.7,34.0,-114.1035,26.928
126.7,40.0,-114.4896,26.728
126.7,50.0,-115.1315,26.3947
126.7,60.0,-115.7716,26.0613
126.7,70.0,-116.4099,25.728
126.7,80.0,-117.0464,25.3947
126.7,90.0,-117.6811,25.0613
126.7,100.0,-118.314,24.728
126.7,110.0,-118.9452,24.3947
130.0,30.0,-113.4908,26.4897
130.0,40.0,-114.1314,26.1564
130.0,50.0,-114.7702,25.8231
130.0,60.0,-115.4072,25.4897
130.0,70.0,-116.0424,25.1564
130.0,80.0,-116.6758,24.8231
130.0,90.0,-117.3075,24.4897
130.0,100.0,-117.9376,24.1564
130.0,110.0,-118.5659,23.8231
133.3,25.0,-112.818,26.0848
133.3,30.0,-113.1374,25.9182
133.3,40.0,-113.7749,25.5848
133.3,50.0,-114.4106,25.2515
133.3,60.0,-115.0445,24.9182
133.3,70.0,-115.6767,24.5848
133.3,80.0,-116.3072,24.2515
133.3,90.0,-116.936,23.9182
133.3,100.0,-117.5632,23.5848
133.3,110.0,-118.1888,23.2515
136.7,23.0,-112.3296,25.5626
136.7,30.0,-112.7747,25.3293
136.7,40.0,-113.4091,24.9959
136.7,50.0,-114.0417,24.6626
136.7,60.0,-114.6726,24.3293
136.7,70.0,-115.3018,23.9959
136.7,80.0,-115.9294,23.6626
136.7,90.0,-116.5553,23.3293
136.7,100.0,-117.1797,22.9959
136.7,110.0,-117.8025,22.6626
140.0,30.0,-112.4241,24.7577
140.0,40.0,-113.0555,24.4244
140.0,50.0,-113.6852,24.091
140.0,60.0,-114.3133,23.7577
140.0,70.0,-114.9397,23.4244
140.0,80.0,-115.5645,23.091
140.0,90.0,-116.1878,22.7577
140.0,100.0,-116.8095,22.4244
140.0,110.0,-117.4297,22.091
143.3,26.0,-111.823,24.3195
143.3,30.0,-112.0749,24.1861
143.3,40.0,-112.7034,23.8528
143.3,50.0,-113.3303,23.5195
143.3,60.0,-113.9555,23.1861
143.3,70.0,-114.5792,22.8528
143.3,80.0,-115.2014,22.5195
143.3,90.0,-115.822,22.1861
143.3,100.0,-116.4412,21.8528
143.3,110.0,-117.0589,21.5195
146.7,20.0,-111.0891,23.9306
146.7,30.0,-111.7164,23.5972
146.7,40.0,-112.342,23.2639
146.7,50.0,-112.9661,22.9306
146.7,60.0,-113.5886,22.5972
146.7,70.0,-114.2096,22.2639
146.7,80.0,-114.8291,21.9306
146.7,90.0,-115.4471,21.5972
146.7,100.0,-116.0637,21.2639
146.7,110.0,-116.6789,20.9306
150.0,19.0,-110.6826,23.3923
150.0,30.0,-111.3697,23.0256
150.0,40.0,-111.9926,22.6923
150.0,50.0,-112.614,22.359
150.0,60.0,-113.234,22.0256
150.0,70.0,-113.8524,21.6923
150.0,80.0,-114.4694,21.359
150.0,90.0,-115.085,21.0256
150.0,100.0,-115.6992,20.6923
150.0,110.0,-116.312,20.359
153.3,16.0,-110.1531,22.9207
153.3,20.0,-110.4023,22.7874
